,post
5934,What do you call a black person on top of a church Holy shit
1317,then we have the same standard  and youre no better  you just sided with people not your own because you loathe your own  probably because you hate yourself  you are a traitor 
3907,indiana in washington dc to demand an end to the replacement of european americans 
3509,if they dont say upfront they are for the white race its because they arent 
3602,white pride march in wales passes off peacefully via
1116,that will happen  the altright nationalist vibe is strong  and growing stronger  soldier on to victory 
5599,put him under the jail
4603,if i see that he ends up in a fucking wheelchair with a big metal plate for a skull
3449, rt  jared taylor on the white mans disease  pathological altruism  race tpot tcot
2979,you make it sound like white nationalism is bad 
1433,does not make you a racist  makes you a realist 
4313,get rid of that program and start sending them backthe ones that are grown could have applied for citizenship as well as their parents
2930,the black football player that punched a white girl in the face  gets to stay at school and continue playing  white privilege 
388,biggest perpetrators of whitegenocide are white people 
410,fuhrers birthday today 20th april  pl gather near city centre churches with swastika flags  slogans heil hitler 
142,the left succeeded in deceit of equating white identity with white supremacy  heres the why 
1254,history shows us that nonwhite marxists have no problem attacking or murdering white childrensee  haiti  bolsheviks  south africa 
2466,this is taharrush  muslim game of gang raping a woman pl  ban such religion
569,antiwhite race war slasher music clip teaches black children to hate and massacre whites via
3773,the enemy makes it clear what they hate and its us white folks and our heritage  war has been declared on us 
4200,not all inferior races are mexican or muslim you fool
4876,funny italy and france dont use illegals to pick grapes
1430,did he import white mechanics to keep it running 
2238,this video shows that sweden has far worse traitors than even our own homegrown secularists in india 
2687,people like this tassia claim that being proud of being white is racisthow pathetica
2109, jews founded the frankfurt school  which created cultural marxism  the antiwhite ideology
3484,even those that dont support us but will gladly reap the benefits of a white society may
3911,islamist wanting to kill jews  who would have thought  islam
59,all white are not aryans  why are they trying to board the bandwagon of aryans 
6201,why do negros dance to the left  because they have no rights 
3637, would he do this to a non white family  white people are thought of as   easy targets    because many are 
2179,just mad because we stand by trump  ur not immune frm terrorists  billthey hate elite white men 
5830,Just how Americans draw themselves slimmer Japan does the same they make anime have giant eyes while in reality they cant see what their drawing
1142,what will happen when they lose all white money  they would be living in mudhuts with no white money  all bs talk cause they need white cash
5246,all arabs africans and pakistanis should be banned from europe they are not compatible
3022,  kkk alive and well white brother hood unite ku klux klan white power mikey
2661,lynching is not indian thing its inherited from islam what punishment sharia gives for thefts   
3699,everything is racist if a white person says or does it  but yes  the koran is religiously  culturally racist
2817,4  the government of south africa is about to seize the land of the white minority  they are launching a real white genocide
844,just looking at them one can see antifa recruits from the bottom of the barrelthey will be easy to dispose of later 
6230,Wait can I catch your Aspergers
726,   the jew as a parasite      glyptapanteles    
6336,Brace yourself Christmas is coming soon Get your GF now or they will run out of supply
3406,yet more anti white propaganda
812,hunter  were all nazis on some level when it comes to defending our family and heritage  some of us just dont realize it yet 
5369,kill them
104,jews want each of those girls to reject white men and use their white wombs to hatch black babies with black men 
3572,translation  blacks need welfare from whites 
5277,house immigration plan slammed spends 10b and deports no illegals via noamnesty
2523, jeb bush    have hispanic children  i have hispanic grandchildren  im part of the community    cuckservative 
5201,the best way to counter this  do a reverse taqqiya on them make the bastards believe you are friendly and stick it to them
1615,ask more rss intellectuals to come on powerful twitter and spread the message of brahma  vishnu and mahesh 
3761,rn the average white person is taught we were always the oppressorwe have a right to learn about the extraordinary achievements of our race
1144,whats good for the white race is what matters  this event is good for our race regardless of nervous nellies 
920,white power
2923,so  how do all those little black people like those mighty white antifa warriors defending thier existence  it must be refreshing to themlol
1465,indians are pre colombians  white people founded and built usa 
2868,hope it goes well for you guys  take the altright from online into the physical world 
1866,the people doing the telling are extreme racists  antiwhite   any one with the vote  or weapon  has the power to be sexist  racist 
4016,you mean white liberal who hated trump and wanted to kill trump supporters
2866,hias jew organisations pro islamification us  so just need 2 beat them
1962,blacks are denied access to credit for the simple reason that they are less responsible with money
4560,you punk rat commies only survived bc we mercifully let you was only by our good graces and overall pacifism
2228,the war on white people is global  they are attacking flags and statues all over the west  and mass murder of whites will follow 
3522,my child cannot pray in public schools where is the outrage islamistheproblem deport islam
6244,Lol Asian gay guys are too girly I suppose
5143,the thoughts of giving 1 million democrat voters and their descendants the ability to outvote us all is terrifying deport them no regrets
2422,no one cares about whites  dangerious minoritys are taking our country  thx for sharing brother  14words teaparty
2697,rudolf hess  the martyr for peace tshirt from the white resister via
252,considered to be us  so get with the program and go all out white nationalist  its the white thing to do 
3557,the left will not stop  own them by triggering their antiwhite hate  you win
4271,reading writing and sexmythatic will gender fluidity also apply to the animal kingdom
3578,wake up real white people  italians are not white  they are half black 
3835, many gaslighted white men had asian girlfriends before they woke up from the brainwashing 
934,your attacks on true fascism are antiwhite  hunter 
3375,we are being manipulated  they want the patriotic white american to be the terrorist 
2484,white americans need to identify and fight whitegenocide whitepride identitarian  via
3644, race is more than skin color  iq  voting  welfare  crime  aggression  open a biology book 
4669,approx half muslms today result of inbreeding perhaps this why they are hell bent on destroying christian based west inbreed  low iq
2815, i just closed my account  i wont be a customer of a company that supports jihad  even if
1489,nothing will stop the marxist destruction of the white race  it doesnt matter what the white race has done  doing now or will d0
6258,Of course I love you I just prefer the straight part of you to the gay part
3786,we are losing our country and you idiots dont care too scared to stand up and fight against obama n politician illegals
78,final solution  the 1941 plan to exterminate germans whitegenocide munich prayformunich
2169,if you denounce these acts  youre islamphobe and youre accused of hate speech  denouncing rape  islamophobia  hate speech 
1557,ya im sure  you did say tea party  kkk and called kkk racist  but whatevs bye felicia
1683,screw the blind media and cucks join and save you people 
3768,stop all muslim immigration now 
5774,Killing communists is self defense and also one of the manliest things a man can do
1196, mosloms call us racist  i am starting to think they should be classified that way  as a race  not a religion 
3976,there it is kids  death of the white race 
2405,lets bring that up to 100 per cent for the nonwhites  0 per cent for the whites 
4783,why bring any refugees at all what good are they average iq from syria is less than 90 these people will be a burden
4790,ah the negromancer mage class makes its appearance
2813, does anyone here at queer want america to become islamic and be forced to dress like zahra billoo 
3386,white is creator of modern science  no one can dilute it  we want white to flourish  beautiful
25, rt    proud white women speak out against white genocide  video  via   
5711,build courts on mex border  when sentenced for deport send out back door
1938, by falsely accusing people of being racist  you grotesque libs have been the real racist all along 
618,i think we should also teach kids zionism and white guilt here in america
4453,victories against illegals in nc or and texas
161,we must secure the existence of our people and a future for white children 
454,nothing to do with hatred i just want white countries to stay white and to preserve the white race  if your other cultures  people are equal then theres no reason you cant build your own 1st world  civilised countries and with that i genuinely wish u well 
220,whitepeople should donate to prowhite groups like   and
4066,detroit  the death of white civilisation via race demographics nationalism ethnicity europe
2603,ethnic norwegians disappearing as nonwhite colonization intensifies via
125,nothing to see here  we all know black on black and black on white crime is
82,help us in california  they are killing americans jobs and taking over the state  some wont go out if they dont have to  a lot dont speak english  they have taken over everything  the politicians are not for americans  they are for illegals  cant move
3212, rt   master race    well thanks  but   white people   will do  
2040,the real racism in america is against white people and the neocon support of open borders is the ethnic destruction of america 
3020, 13  worst  companies who support israels policies for white america july 23rd   be there   
6111,what does a muslim do with their iphone number  just kidding  they prefer the note number
2256,white pill of epic proportions incoming  we are the unassailable future via
4212,if they did not immigrate here legally then they are illegal immigrants calling a fish a bird doesnt make it a bird
275,in order for jews to triumph  all it takes is for white men to do nothing 
5063,no such thing as might they must be deported all illegal aliens must be deportedno amnesty or we will face unprecedented negative consequences
6047,Researchers found out the most important difference between humans and apes Apes lives in Africa
853,my opinion is amnesty will be the end of white america  and the god emperor himself will have killed it 
301,so dan carlin is uninformed about the nordics coming to america first  thats testament to the antiwhite narrative
797,do you disavow all of these  btw theres tons for every other race too besides blacks  if you dont disavow all of these youre antiwhite
195,youre distraught by the fact the video dispels myths  falsehoods of  innocent  black man assaulted by  evil  whites 
870,recruiting for jihad in a place of worship  shocking 
5468,calling all illegal aliens  flock to california to see your savior jerry brown he will give you everything for free
4808,now if that isnt the pot calling the kettle mexican i dont know what is
2235,this is the second time in american history white man is minority  america is not white mans homeland  go back to europe 
2488,white lives matter  pure hate  diversity is a code word for whitegenocide 
2975,why do jews want access to all white countries hey 
6217,I just dont understand it I think you must just be doing it for attention When this phase is over and you go back to putting effort into your appearance you can be treated with respect
5936,Boomerangs are like dads The black ones dont come back
365, lets be a white resister  because the beauty of white aryan woman must not perish from the earth 
476,thats y races should stay w  own origin however some pl will say ura racist  look at chinese folks 4 ex
4703,lmao okay you are a journalist and i am elvis whatever this is no more mysterious than roof or glenn miller
2503,you would never ask a question like this to a charity specifically contributing to jews or those in india  asia  or africa  you know is based on building up european americans  there is absolutely nothing wrong with that and they owe nobody an explanation 
4877,build that damn wall with hillary and husan obama on the mexican side 2 aaa socialist sleezebags
574,as always  a complete bias against white people  no hate charges for black power  white lives do not matter 
6182,jewish jokes what s the difference between a jew and a stiff nipple  repeat othing because they both disappear after hot shower
2691,ps get deported maybe new rule no legal way back in 
3892,i dont hate anyone  the doesnt hate anyone  nationalsocialism is about love  not hate  wpww
4589,my eyes are hazel assholert  a race of blueeyed devils we live amongst vermin of the planet
2469,two great videos  whitepeople whitepride hitler 14words ows tlot p2 honor
4105,no doubt and all humanity must respect the most beautiful creation  white race  even white tigers are rare breed
231, the last bastion of the white race  90  of young finnish people oppose more nonwhite immigration
734, opposing jihad terror is opposing people who on average have darker skin than white people  so its   racist    
4514,california is the wastewater collection station of the usa unfortunately they do not have a treatment facility at all anywhere in the whole state therefore all the crap just sits there and ferments  decays for all the world to see  unfortunately smell
5675,jews and muslims should be confined to the middle east bc they are threat to entire world
2974,whites are squirming now coz they see huge competition from asians n south asians  all sense of supremacy is dead 
3939,ok let the record show you wont say you love white people and white lives matter 
240,another california public school persecutes a white student  tcot whitepeople
1599, jw is a truth organization not a hate orginzation  islam is all about hate  ar
5992,Why is all medicine white Blacks dont work
2187,mmmm according to the quran those who do kill are true muslims  those that dont kill are hyp
4888,aww it cant read
4942,yea because everyone good and bad wants to get in free and illegal
5919,A black guy and Mexican were in a car Who is driving The Cop
5884,What is the difference between the highway at rush hour and the line at KFC Nothing they are both black and dangerous to cut through
5594,bikers and truckers good news open hunting season on the new black panthers
3866,brown antifa has turned on white antifa
